Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Winners_left,Winners_right,Unforced errors_left,Unforced errors_right,Net points won_left,Net points won_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
1,2,2,0,60%,61%,"77%
(33/43)","56%
(25/45)","48%
(14/29)","59%
(17/29)",3/6,3/8,"44%
(20/45)","23%
(10/43)","41%
(12/29)","45%
(13/29)",5/8,3/6,10,23,23,44,"67%
(4/6)","67%
(6/9)","65%
(47/72)","57%
(42/74)","43%
(32/74)","35%
(25/72)","54%
(79/146)","46%
(67/146)","77%
(10/13)","62%
(8/13)","38%
(5/13)","23%
(3/13)","58%
(15/26)","42%
(11/26)",norrie-cameron,basilashvili-nikoloz,17.10.2021 23:50,indian-wells-2021,2-1,3,3,2-1 | 3-6 | 6-4 | 6-1,3-6,,6-4,,6-1,,,,,
11,3,3,1,59%,70%,"89%
(33/37)","68%
(43/63)","38%
(10/26)","59%
(16/27)",0/1,7/7,"32%
(20/63)","11%
(4/37)","37%
(10/27)","50%
(13/26)",0/7,1/1,23,25,17,26,"33%
(1/3)","75%
(3/4)","68%
(43/63)","66%
(59/90)","34%
(31/90)","32%
(20/63)","48%
(74/153)","52%
(79/153)","90%
(9/10)","100%
(11/11)","0%
(0/11)","10%
(1/10)","43%
(9/21)","57%
(12/21)",fritz-taylor,basilashvili-nikoloz,16.10.2021 22:30,indian-wells-2021,0-2,2,3,0-2 | 6-7(5-7) | 3-6,6-7,5-7,3-6,,,,,,,
0,4,4,1,61%,71%,"58%
(22/38)","69%
(27/39)","50%
(12/24)","56%
(9/16)",3/7,1/2,"31%
(12/39)","42%
(16/38)","38%
(6/16)","33%
(8/24)",1/2,4/7,15,12,31,19,"80%
(8/10)","75%
(6/8)","55%
(34/62)","65%
(36/55)","35%
(19/55)","45%
(28/62)","45%
(53/117)","55%
(64/117)","56%
(5/9)","89%
(8/9)","11%
(1/9)","44%
(4/9)","33%
(6/18)","67%
(12/18)",dimitrov-grigor,norrie-cameron,16.10.2021 20:40,indian-wells-2021,0-2,2,3,0-2 | 2-6 | 4-6,2-6,,4-6,,,,,,,
10,9,3,5,60%,66%,"82%
(50/61)","75%
(45/60)","45%
(18/40)","45%
(14/31)",5/8,1/4,"25%
(15/60)","18%
(11/61)","39%
(12/31)","48%
(19/40)",3/4,3/8,36,24,35,26,"73%
(16/22)","53%
(10/19)","67%
(68/101)","65%
(59/91)","35%
(32/91)","33%
(33/101)","52%
(100/192)","48%
(92/192)","81%
(13/16)","80%
(12/15)","20%
(3/15)","19%
(3/16)","52%
(16/31)","48%
(15/31)",fritz-taylor,zverev-alexander,15.10.2021 20:50,indian-wells-2021,2-1,3,3,2-1 | 4-6 | 6-3 | 7-6(7-3),4-6,,6-3,,7-6,7-3,,,,
5,10,1,2,72%,65%,"60%
(44/73)","69%
(33/48)","50%
(14/28)","50%
(13/26)",6/10,1/5,"31%
(15/48)","40%
(29/73)","42%
(11/26)","46%
(13/28)",4/5,4/10,31,21,43,24,"73%
(8/11)","71%
(5/7)","57%
(58/101)","62%
(46/74)","38%
(28/74)","43%
(43/101)","49%
(86/175)","51%
(89/175)","71%
(10/14)","71%
(10/14)","29%
(4/14)","29%
(4/14)","50%
(14/28)","50%
(14/28)",basilashvili-nikoloz,tsitsipas-stefanos,15.10.2021 18:15,indian-wells-2021,2-1,3,3,2-1 | 6-4 | 2-6 | 6-4,6-4,,2-6,,6-4,,,,,
0,14,4,1,74%,60%,"71%
(51/72)","77%
(48/62)","52%
(13/25)","48%
(20/42)",6/9,1/4,"23%
(14/62)","29%
(21/72)","50%
(21/42)","32%
(8/25)",3/4,3/9,32,35,25,29,"74%
(17/23)","71%
(22/31)","66%
(64/97)","65%
(68/104)","35%
(36/104)","34%
(33/97)","50%
(100/201)","50%
(101/201)","80%
(12/15)","81%
(13/16)","19%
(3/16)","20%
(3/15)","48%
(15/31)","52%
(16/31)",dimitrov-grigor,hurkacz-hubert,14.10.2021 19:45,indian-wells-2021,2-1,3,3,2-1 | 3-6 | 6-4 | 7-6(7-2),3-6,,6-4,,7-6,7-2,,,,
0,0,0,4,60%,59%,"72%
(18/25)","48%
(13/27)","59%
(10/17)","16%
(3/19)",2/3,3/9,"52%
(14/27)","28%
(7/25)","63%
(12/19)","41%
(7/17)",6/9,1/3,14,11,10,26,"100%
(6/6)","22%
(2/9)","67%
(28/42)","35%
(16/46)","65%
(30/46)","33%
(14/42)","66%
(58/88)","34%
(30/88)","86%
(6/7)","14%
(1/7)","86%
(6/7)","14%
(1/7)","86%
(12/14)","14%
(2/14)",norrie-cameron,schwartzman-diego,14.10.2021 18:10,indian-wells-2021,2-0,2,3,2-0 | 6-0 | 6-2,6-0,,6-2,,,,,,,
2,1,0,1,72%,72%,"61%
(19/31)","76%
(26/34)","33%
(4/12)","62%
(8/13)",4/8,1/1,"24%
(8/34)","39%
(12/31)","31%
(4/13)","67%
(8/12)",0/1,4/8,,,,,,,"53%
(23/43)","72%
(34/47)","28%
(13/47)","47%
(20/43)","40%
(36/90)","60%
(54/90)","50%
(4/8)","100%
(8/8)","0%
(0/8)","50%
(4/8)","25%
(4/16)","75%
(12/16)",monfils-gael,zverev-alexander,14.10.2021 03:45,indian-wells-2021,0-2,2,3,0-2 | 1-6 | 3-6,1-6,,3-6,,,,,,,
1,7,3,1,57%,52%,"63%
(39/62)","65%
(36/55)","52%
(24/46)","65%
(33/51)",5/10,2/5,"35%
(19/55)","37%
(23/62)","33%
(17/51)","41%
(19/46)",3/5,5/10,,,,,,,"58%
(63/108)","65%
(69/106)","35%
(37/106)","42%
(45/108)","47%
(100/214)","53%
(114/214)","69%
(11/16)","81%
(13/16)","19%
(3/16)","31%
(5/16)","44%
(14/32)","56%
(18/32)",de-minaur-alex,tsitsipas-stefanos,14.10.2021 01:10,indian-wells-2021,1-2,3,3,1-2 | 7-6(7-3) | 6-7(3-7) | 2-6,7-6,7-3,6-7,3-7,2-6,,,,,
6,0,3,4,58%,51%,"58%
(25/43)","61%
(20/33)","55%
(17/31)","34%
(11/32)",5/8,7/12,"39%
(13/33)","42%
(18/43)","53%
(17/32)","35%
(11/31)",5/12,3/8,,,,,,,"57%
(42/74)","48%
(31/65)","52%
(34/65)","43%
(32/74)","55%
(76/139)","45%
(63/139)","70%
(7/10)","44%
(4/9)","56%
(5/9)","30%
(3/10)","63%
(12/19)","37%
(7/19)",fritz-taylor,sinner-jannik,13.10.2021 22:10,indian-wells-2021,2-0,2,3,2-0 | 6-4 | 6-3,6-4,,6-3,,,,,,,
4,4,2,2,55%,59%,"71%
(29/41)","55%
(26/47)","58%
(19/33)","59%
(19/32)",4/6,3/6,"45%
(21/47)","29%
(12/41)","34%
(11/32)","36%
(12/33)",3/6,2/6,,,,,,,"65%
(48/74)","57%
(45/79)","43%
(34/79)","35%
(26/74)","54%
(82/153)","46%
(71/153)","82%
(9/11)","73%
(8/11)","27%
(3/11)","18%
(2/11)","55%
(12/22)","45%
(10/22)",basilashvili-nikoloz,khachanov-karen,13.10.2021 21:30,indian-wells-2021,2-0,2,3,2-0 | 6-4 | 7-6(8-6),6-4,,7-6,8-6,,,,,,
5,1,6,5,54%,80%,"66%
(29/44)","64%
(46/72)","38%
(14/37)","39%
(7/18)",4/10,2/7,"36%
(26/72)","34%
(15/44)","33%
(6/18)","46%
(17/37)",5/7,6/10,,,,,,,"53%
(43/81)","59%
(53/90)","41%
(37/90)","47%
(38/81)","47%
(80/171)","53%
(91/171)","57%
(8/14)","67%
(10/15)","33%
(5/15)","43%
(6/14)","45%
(13/29)","55%
(16/29)",medvedev-daniil,dimitrov-grigor,13.10.2021 20:15,indian-wells-2021,1-2,3,3,1-2 | 6-4 | 4-6 | 3-6,6-4,,4-6,,3-6,,,,,
2,6,3,3,60%,65%,"57%
(38/67)","66%
(37/56)","41%
(18/44)","40%
(12/30)",17/24,4/9,"34%
(19/56)","43%
(29/67)","50%
(15/30)","52%
(23/44)",5/9,7/24,,,,,,,"50%
(56/111)","57%
(49/86)","43%
(37/86)","50%
(55/111)","47%
(93/197)","53%
(104/197)","50%
(7/14)","64%
(9/14)","36%
(5/14)","50%
(7/14)","43%
(12/28)","57%
(16/28)",paul-tommy,norrie-cameron,13.10.2021 19:40,indian-wells-2021,1-2,3,3,1-2 | 4-6 | 6-4 | 2-6,4-6,,6-4,,2-6,,,,,
1,6,5,0,63%,70%,"53%
(17/32)","71%
(22/31)","26%
(5/19)","69%
(9/13)",4/9,1/2,"29%
(9/31)","47%
(15/32)","31%
(4/13)","47%
(9/19)",1/2,5/9,,,,,,,"43%
(22/51)","70%
(31/44)","30%
(13/44)","57%
(29/51)","37%
(35/95)","63%
(60/95)","38%
(3/8)","88%
(7/8)","13%
(1/8)","63%
(5/8)","25%
(4/16)","75%
(12/16)",karatsev-aslan,hurkacz-hubert,13.10.2021 18:10,indian-wells-2021,0-2,2,3,0-2 | 1-6 | 3-6,1-6,,3-6,,,,,,,
1,1,0,0,71%,63%,"64%
(28/44)","56%
(23/41)","72%
(13/18)","46%
(11/24)",3/4,3/7,"44%
(18/41)","36%
(16/44)","54%
(13/24)","28%
(5/18)",4/7,1/4,,,,,,,"66%
(41/62)","52%
(34/65)","48%
(31/65)","34%
(21/62)","57%
(72/127)","43%
(55/127)","89%
(8/9)","56%
(5/9)","44%
(4/9)","11%
(1/9)","67%
(12/18)","33%
(6/18)",schwartzman-diego,ruud-casper,13.10.2021 18:10,indian-wells-2021,2-0,2,3,2-0 | 6-3 | 6-3,6-3,,6-3,,,,,,,
1,1,0,0,68%,66%,"45%
(18/40)","65%
(26/40)","53%
(10/19)","43%
(9/21)",6/11,3/5,"35%
(14/40)","55%
(22/40)","57%
(12/21)","47%
(9/19)",2/5,5/11,,,,,,,"47%
(28/59)","57%
(35/61)","43%
(26/61)","53%
(31/59)","45%
(54/120)","55%
(66/120)","44%
(4/9)","78%
(7/9)","22%
(2/9)","56%
(5/9)","33%
(6/18)","67%
(12/18)",garin-cristian,de-minaur-alex,13.10.2021 03:00,indian-wells-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,
1,10,0,4,65%,63%,"59%
(29/49)","66%
(41/62)","69%
(18/26)","50%
(18/36)",3/6,8/11,"34%
(21/62)","41%
(20/49)","39%
(14/36)","31%
(8/26)",3/11,3/6,,,,,,,"63%
(47/75)","60%
(59/98)","40%
(39/98)","37%
(28/75)","50%
(86/173)","50%
(87/173)","77%
(10/13)","79%
(11/14)","21%
(3/14)","23%
(3/13)","48%
(13/27)","52%
(14/27)",fognini-fabio,tsitsipas-stefanos,13.10.2021 02:55,indian-wells-2021,1-2,3,3,1-2 | 6-2 | 3-6 | 4-6,6-2,,3-6,,4-6,,,,,
9,1,11,3,58%,58%,"70%
(37/53)","69%
(24/35)","51%
(20/39)","32%
(8/25)",9/10,4/8,"31%
(11/35)","30%
(16/53)","56%
(14/25)","21%
(8/39)",4/8,1/10,,,,,,,"62%
(57/92)","53%
(32/60)","47%
(28/60)","38%
(35/92)","56%
(85/152)","44%
(67/152)","90%
(9/10)","60%
(6/10)","40%
(4/10)","10%
(1/10)","65%
(13/20)","35%
(7/20)",monfils-gael,anderson-kevin,13.10.2021 01:15,indian-wells-2021,2-0,2,3,2-0 | 7-5 | 6-2,7-5,,6-2,,,,,,,
8,8,4,4,65%,72%,"66%
(35/53)","72%
(38/53)","41%
(12/29)","43%
(9/21)",2/6,3/6,"28%
(15/53)","34%
(18/53)","38%
(8/21)","45%
(13/29)",3/6,4/6,,,,,,,"57%
(47/82)","64%
(47/74)","36%
(27/74)","43%
(35/82)","47%
(74/156)","53%
(82/156)","64%
(7/11)","73%
(8/11)","27%
(3/11)","36%
(4/11)","45%
(10/22)","55%
(12/22)",murray-andy,zverev-alexander,12.10.2021 22:25,indian-wells-2021,0-2,2,3,0-2 | 4-6 | 6-7(4-7),4-6,,6-7,4-7,,,,,,
6,8,2,8,57%,54%,"61%
(36/59)","74%
(39/53)","44%
(20/45)","42%
(19/45)",1/6,6/10,"26%
(14/53)","39%
(23/59)","40%
(18/45)","51%
(23/45)",4/10,5/6,,,,,,,"54%
(56/104)","59%
(58/98)","41%
(40/98)","46%
(48/104)","48%
(96/202)","52%
(106/202)","67%
(10/15)","73%
(11/15)","27%
(4/15)","33%
(5/15)","47%
(14/30)","53%
(16/30)",ramos-vinolas-albert,basilashvili-nikoloz,12.10.2021 20:05,indian-wells-2021,1-2,3,3,1-2 | 6-4 | 6-7(2-7) | 2-6,6-4,,6-7,2-7,2-6,,,,,
6,0,2,1,62%,69%,"96%
(22/23)","62%
(21/34)","71%
(10/14)","40%
(6/15)",0/0,1/5,"38%
(13/34)","4%
(1/23)","53%
(8/15)","14%
(2/14)",4/5,0/0,,,,,,,"86%
(32/37)","55%
(27/49)","45%
(22/49)","14%
(5/37)","63%
(54/86)","37%
(32/86)","100%
(8/8)","50%
(4/8)","50%
(4/8)","0%
(0/8)","75%
(12/16)","25%
(4/16)",khachanov-karen,carreno-busta-pablo,12.10.2021 19:50,indian-wells-2021,2-0,2,3,2-0 | 6-0 | 6-4,6-0,,6-4,,,,,,,
3,3,3,2,63%,59%,"63%
(22/35)","81%
(30/37)","33%
(7/21)","38%
(10/26)",5/9,4/6,"19%
(7/37)","37%
(13/35)","54%
(14/26)","52%
(11/21)",2/6,4/9,,,,,,,"52%
(29/56)","63%
(40/63)","37%
(23/63)","48%
(27/56)","44%
(52/119)","56%
(67/119)","56%
(5/9)","80%
(8/10)","20%
(2/10)","44%
(4/9)","37%
(7/19)","63%
(12/19)",berrettini-matteo,fritz-taylor,12.10.2021 18:10,indian-wells-2021,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
4,0,3,0,58%,66%,"70%
(23/33)","54%
(22/41)","63%
(15/24)","48%
(10/21)",1/3,2/6,"46%
(19/41)","30%
(10/33)","52%
(11/21)","25%
(6/24)",4/6,2/3,,,,,,,"67%
(38/57)","52%
(32/62)","48%
(30/62)","33%
(19/57)","57%
(68/119)","43%
(51/119)","80%
(8/10)","60%
(6/10)","40%
(4/10)","20%
(2/10)","60%
(12/20)","40%
(8/20)",medvedev-daniil,krajinovic-filip,12.10.2021 04:10,indian-wells-2021,2-0,2,3,2-0 | 6-2 | 7-6(7-1),6-2,,7-6,7-1,,,,,,
12,0,8,0,61%,73%,"71%
(44/62)","58%
(53/92)","38%
(15/39)","44%
(15/34)",10/14,11/17,"42%
(39/92)","29%
(18/62)","56%
(19/34)","41%
(16/39)",6/17,4/14,,,,,,,"58%
(59/101)","54%
(68/126)","46%
(58/126)","42%
(42/101)","52%
(117/227)","48%
(110/227)","73%
(11/15)","63%
(10/16)","38%
(6/16)","27%
(4/15)","55%
(17/31)","45%
(14/31)",norrie-cameron,bautista-agut-roberto,12.10.2021 03:40,indian-wells-2021,2-1,3,3,2-1 | 6-4 | 5-7 | 6-3,6-4,,5-7,,6-3,,,,,
6,5,4,5,70%,60%,"62%
(45/73)","72%
(46/64)","45%
(14/31)","42%
(18/43)",6/11,10/14,"28%
(18/64)","38%
(28/73)","47%
(20/43)","42%
(13/31)",4/14,5/11,,,,,,,"57%
(59/104)","60%
(64/107)","40%
(43/107)","43%
(45/104)","48%
(102/211)","52%
(109/211)","69%
(11/16)","73%
(11/15)","27%
(4/15)","31%
(5/16)","48%
(15/31)","52%
(16/31)",rublev-andrey,paul-tommy,12.10.2021 02:40,indian-wells-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 5-7,4-6,,6-3,,5-7,,,,,
1,7,2,0,55%,71%,"60%
(18/30)","85%
(29/34)","52%
(13/25)","57%
(8/14)",7/10,2/2,"15%
(5/34)","40%
(12/30)","43%
(6/14)","40%
(10/25)",0/2,3/10,,,,,,,"56%
(31/55)","77%
(37/48)","23%
(11/48)","44%
(24/55)","41%
(42/103)","59%
(61/103)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",tiafoe-frances,hurkacz-hubert,12.10.2021 01:10,indian-wells-2021,0-2,2,3,0-2 | 3-6 | 2-6,3-6,,2-6,,,,,,,
12,0,4,3,60%,44%,"74%
(26/35)","78%
(21/27)","39%
(9/23)","71%
(24/34)",6/9,1/1,"22%
(6/27)","26%
(9/35)","21%
(7/34)","43%
(10/23)",0/1,3/9,,,,,,,"60%
(35/58)","74%
(45/61)","26%
(16/61)","40%
(23/58)","43%
(51/119)","57%
(68/119)","70%
(7/10)","100%
(10/10)","0%
(0/10)","30%
(3/10)","35%
(7/20)","65%
(13/20)",shapovalov-denis,karatsev-aslan,11.10.2021 22:30,indian-wells-2021,0-2,2,3,0-2 | 5-7 | 2-6,5-7,,2-6,,,,,,,
4,5,2,1,77%,60%,"86%
(32/37)","73%
(24/33)","73%
(8/11)","45%
(10/22)",0/0,4/6,"27%
(9/33)","14%
(5/37)","50%
(11/22)","9%
(1/11)",2/6,0/0,,,,,,,"83%
(40/48)","62%
(34/55)","38%
(21/55)","17%
(8/48)","59%
(61/103)","41%
(42/103)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",dimitrov-grigor,opelka-reilly,11.10.2021 20:45,indian-wells-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
18,2,5,4,67%,61%,"81%
(52/64)","72%
(55/76)","47%
(15/32)","53%
(26/49)",3/5,8/8,"28%
(21/76)","19%
(12/64)","39%
(19/49)","38%
(12/32)",0/8,2/5,,,,,,,"70%
(67/96)","65%
(81/125)","35%
(44/125)","30%
(29/96)","50%
(111/221)","50%
(110/221)","88%
(14/16)","100%
(16/16)","0%
(0/16)","13%
(2/16)","44%
(14/32)","56%
(18/32)",harris-lloyd,ruud-casper,11.10.2021 18:10,indian-wells-2021,1-2,3,3,1-2 | 7-6(7-4) | 4-6 | 4-6,7-6,7-4,4-6,,4-6,,,,,
3,3,6,3,61%,71%,"67%
(36/54)","56%
(33/59)","53%
(18/34)","42%
(10/24)",7/10,6/12,"44%
(26/59)","33%
(18/54)","46%
(11/24)","29%
(10/34)",6/12,3/10,,,,,,,"61%
(54/88)","52%
(43/83)","48%
(40/83)","39%
(34/88)","55%
(94/171)","45%
(77/171)","79%
(11/14)","57%
(8/14)","43%
(6/14)","21%
(3/14)","61%
(17/28)","39%
(11/28)",schwartzman-diego,evans-daniel,11.10.2021 18:10,indian-wells-2021,2-1,3,3,2-1 | 5-7 | 6-4 | 6-0,5-7,,6-4,,6-0,,,,,
13,0,2,2,57%,65%,"86%
(25/29)","70%
(23/33)","68%
(15/22)","50%
(9/18)",0/0,1/3,"30%
(10/33)","14%
(4/29)","39%
(7/18)","23%
(5/22)",2/3,0/0,,,,,,,"78%
(40/51)","63%
(32/51)","37%
(19/51)","22%
(11/51)","58%
(59/102)","42%
(43/102)","100%
(10/10)","78%
(7/9)","22%
(2/9)","0%
(0/10)","63%
(12/19)","37%
(7/19)",isner-john,nishioka-yoshihito,11.10.2021 03:45,indian-wells-2021,2-0,2,3,2-0 | 6-3 | 6-4,6-3,,6-4,,,,,,,
6,1,0,6,67%,56%,"53%
(26/49)","74%
(23/31)","50%
(12/24)","54%
(13/24)",9/13,1/2,"26%
(8/31)","47%
(23/49)","21%
(5/24)","50%
(12/24)",1/2,4/13,,,,,,,"52%
(38/73)","65%
(36/55)","35%
(19/55)","48%
(35/73)","45%
(57/128)","55%
(71/128)","60%
(6/10)","89%
(8/9)","11%
(1/9)","40%
(4/10)","37%
(7/19)","63%
(12/19)",eubanks-christopher,basilashvili-nikoloz,11.10.2021 01:10,indian-wells-2021,0-2,2,3,0-2 | 4-6 | 3-6,4-6,,3-6,,,,,,,
4,4,5,7,58%,68%,"73%
(29/40)","57%
(23/40)","55%
(16/29)","42%
(8/19)",4/5,4/8,"43%
(17/40)","28%
(11/40)","21%
(4/19)","28%
(8/29)",4/8,1/5,,,,,,,"65%
(45/69)","53%
(31/59)","47%
(28/59)","35%
(24/69)","57%
(73/128)","43%
(55/128)","90%
(9/10)","60%
(6/10)","40%
(4/10)","10%
(1/10)","65%
(13/20)","35%
(7/20)",khachanov-karen,ruusuvuori-emil,11.10.2021 01:10,indian-wells-2021,2-0,2,3,2-0 | 6-2 | 7-5,6-2,,7-5,,,,,,,
0,7,4,0,61%,73%,"59%
(23/39)","63%
(26/41)","36%
(9/25)","80%
(12/15)",5/9,1/2,"37%
(15/41)","41%
(16/39)","20%
(3/15)","48%
(12/25)",1/2,4/9,,,,,,,"50%
(32/64)","68%
(38/56)","32%
(18/56)","50%
(32/64)","42%
(50/120)","58%
(70/120)","56%
(5/9)","89%
(8/9)","11%
(1/9)","44%
(4/9)","33%
(6/18)","67%
(12/18)",martinez-pedro,tsitsipas-stefanos,11.10.2021 01:10,indian-wells-2021,0-2,2,3,0-2 | 2-6 | 4-6,2-6,,4-6,,,,,,,
5,7,0,1,44%,64%,"69%
(20/29)","62%
(28/45)","49%
(18/37)","72%
(18/25)",2/6,5/7,"38%
(17/45)","31%
(9/29)","24%
(6/25)","51%
(19/37)",2/7,4/6,,,,,,,"58%
(38/66)","66%
(46/70)","34%
(24/70)","42%
(28/66)","46%
(62/136)","54%
(74/136)","64%
(7/11)","82%
(9/11)","18%
(2/11)","36%
(4/11)","41%
(9/22)","59%
(13/22)",vukic-aleksandar,de-minaur-alex,10.10.2021 22:25,indian-wells-2021,0-2,2,3,0-2 | 4-6 | 5-7,4-6,,5-7,,,,,,,
1,12,1,5,59%,67%,"68%
(32/47)","73%
(35/48)","53%
(17/32)","58%
(14/24)",1/5,1/3,"27%
(13/48)","32%
(15/47)","21%
(5/24)","44%
(14/32)",2/3,4/5,,,,,,,"62%
(49/79)","68%
(49/72)","32%
(23/72)","38%
(30/79)","48%
(72/151)","52%
(79/151)","69%
(9/13)","85%
(11/13)","15%
(2/13)","31%
(4/13)","42%
(11/26)","58%
(15/26)",brooksby-jenson,zverev-alexander,10.10.2021 22:15,indian-wells-2021,1-2,3,3,1-2 | 4-6 | 6-3 | 1-6,4-6,,6-3,,1-6,,,,,
2,3,2,1,64%,70%,"54%
(19/35)","91%
(29/32)","50%
(10/20)","57%
(8/14)",6/9,2/2,"9%
(3/32)","46%
(16/35)","36%
(5/14)","40%
(8/20)",0/2,3/9,,,,,,,"53%
(29/55)","80%
(37/46)","20%
(9/46)","47%
(26/55)","38%
(38/101)","62%
(63/101)","63%
(5/8)","100%
(9/9)","0%
(0/9)","38%
(3/8)","29%
(5/17)","71%
(12/17)",gomez-emilio,carreno-busta-pablo,10.10.2021 22:05,indian-wells-2021,0-2,2,3,0-2 | 1-6 | 4-6,1-6,,4-6,,,,,,,
7,0,7,3,58%,64%,"58%
(18/31)","83%
(24/29)","45%
(10/22)","56%
(9/16)",5/9,1/2,"17%
(5/29)","42%
(13/31)","25%
(4/16)","23%
(5/22)",1/2,4/9,,,,,,,"53%
(28/53)","73%
(33/45)","27%
(12/45)","47%
(25/53)","41%
(40/98)","59%
(58/98)","56%
(5/9)","89%
(8/9)","11%
(1/9)","44%
(4/9)","33%
(6/18)","67%
(12/18)",auger-aliassime-felix,ramos-vinolas-albert,10.10.2021 21:25,indian-wells-2021,0-2,2,3,0-2 | 4-6 | 2-6,4-6,,2-6,,,,,,,
5,3,4,1,58%,73%,"82%
(27/33)","56%
(25/45)","54%
(13/24)","47%
(8/17)",2/3,1/5,"44%
(20/45)","18%
(6/33)","47%
(8/17)","29%
(7/24)",4/5,1/3,,,,,,,"70%
(40/57)","53%
(33/62)","47%
(29/62)","30%
(17/57)","58%
(69/119)","42%
(50/119)","90%
(9/10)","60%
(6/10)","40%
(4/10)","10%
(1/10)","65%
(13/20)","35%
(7/20)",garin-cristian,escobedo-ernesto,10.10.2021 20:35,indian-wells-2021,2-0,2,3,2-0 | 7-5 | 6-2,7-5,,6-2,,,,,,,
3,3,3,3,63%,59%,"62%
(37/60)","67%
(40/60)","47%
(17/36)","56%
(23/41)",7/11,8/10,"33%
(20/60)","38%
(23/60)","37%
(15/41)","44%
(16/36)",2/10,4/11,,,,,,,"56%
(54/96)","62%
(63/101)","38%
(38/101)","44%
(42/96)","47%
(92/197)","53%
(105/197)","71%
(10/14)","87%
(13/15)","13%
(2/15)","29%
(4/14)","41%
(12/29)","59%
(17/29)",alcaraz-garfia-carlos,murray-andy,10.10.2021 20:05,indian-wells-2021,1-2,3,3,1-2 | 7-5 | 3-6 | 2-6,7-5,,3-6,,2-6,,,,,
4,5,0,1,55%,53%,"70%
(23/33)","74%
(23/31)","44%
(12/27)","59%
(16/27)",2/5,0/1,"26%
(8/31)","30%
(10/33)","37%
(10/27)","56%
(15/27)",1/1,3/5,,,,,,,"58%
(35/60)","67%
(39/58)","33%
(19/58)","42%
(25/60)","46%
(54/118)","54%
(64/118)","67%
(6/9)","90%
(9/10)","10%
(1/10)","33%
(3/9)","37%
(7/19)","63%
(12/19)",nakashima-brandon,fritz-taylor,10.10.2021 19:45,indian-wells-2021,0-2,2,3,0-2 | 3-6 | 4-6,3-6,,4-6,,,,,,,
5,14,3,5,68%,52%,"83%
(44/53)","68%
(41/60)","36%
(9/25)","45%
(25/55)",2/4,9/13,"32%
(19/60)","17%
(9/53)","45%
(25/55)","52%
(13/25)",4/13,2/4,,,,,,,"68%
(53/78)","57%
(66/115)","43%
(49/115)","32%
(25/78)","53%
(102/193)","47%
(91/193)","86%
(12/14)","73%
(11/15)","27%
(4/15)","14%
(2/14)","55%
(16/29)","45%
(13/29)",fognini-fabio,struff-jan-lennard,10.10.2021 19:35,indian-wells-2021,2-1,3,3,2-1 | 6-4 | 4-6 | 6-3,6-4,,4-6,,6-3,,,,,
10,5,2,2,61%,66%,"76%
(38/50)","75%
(38/51)","63%
(20/32)","46%
(12/26)",4/6,3/5,"25%
(13/51)","24%
(12/50)","46%
(12/26)","31%
(10/32)",2/5,2/6,,,,,,,"71%
(58/82)","65%
(50/77)","35%
(27/77)","29%
(24/82)","53%
(85/159)","47%
(74/159)","83%
(10/12)","83%
(10/12)","17%
(2/12)","17%
(2/12)","50%
(12/24)","50%
(12/24)",anderson-kevin,sonego-lorenzo,10.10.2021 18:10,indian-wells-2021,2-0,2,3,2-0 | 7-6(9-7) | 7-6(7-3),7-6,9-7,7-6,7-3,,,,,,
11,8,0,5,56%,61%,"83%
(29/35)","78%
(32/41)","63%
(17/27)","46%
(12/26)",2/2,2/4,"22%
(9/41)","17%
(6/35)","35%
(9/26)","37%
(10/27)",2/4,0/2,,,,,,,"74%
(46/62)","66%
(44/67)","34%
(23/67)","26%
(16/62)","53%
(69/129)","47%
(60/129)","100%
(11/11)","82%
(9/11)","18%
(2/11)","0%
(0/11)","59%
(13/22)","41%
(9/22)",berrettini-matteo,tabilo-alejandro,10.10.2021 18:10,indian-wells-2021,2-0,2,3,2-0 | 6-4 | 7-5,6-4,,7-5,,,,,,,
